label,message
ham,I will call you later
ham,Let's meet for lunch tomorrow
spam,Congratulations! You have won a lottery of 1 lakh
spam,Claim your free prize now
ham,Are you coming to the meeting today?
spam,Win cash now Click here
ham,Please send me the report
spam,Exclusive offer just for you
ham,Can we reschedule our call?
spam,You have been selected for a reward
ham,I am on my way
spam,Act now to get free gifts
ham,Let me know your availability
spam,URGENT Your account has been compromised
ham,Thanks for your help
